variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS1,Hours worked at job 1 in week 1.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS2,Hours worked at job 1 in week 2.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS3,Hours worked at job 1 in week 3.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS4,Hours worked at job 1 in week 4.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS5,Hours worked at job 1 in week 5.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS1,Hours worked at job 2 in week 1.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS2,Hours worked at job 2 in week 2.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS3,Hours worked at job 2 in week 3.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS4,Hours worked at job 2 in week 4.,Labor Force
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS5,Hours worked at job 2 in week 5.,Labor Force
*** NO MATCH AVAILABLE ***,,,TWKHRS1,Number of hours worked at all jobs in week 1.,Labor Force
*** NO MATCH AVAILABLE ***,,,TWKHRS2,Number of hours worked at all jobs in week 2.,Labor Force
*** NO MATCH AVAILABLE ***,,,TWKHRS3,Number of hours worked at all jobs in week 3.,Labor Force
*** NO MATCH AVAILABLE ***,,,TWKHRS4,Number of hours worked at all jobs in week 4.,Labor Force
*** NO MATCH AVAILABLE ***,,,TWKHRS5,Number of hours worked at all jobs in week 5.,Labor Force
E1LVLMPS,Asks if respondent can get lump-sum,Retirement Expectations and Pension Plan Coverage,*** NO MATCH AVAILABLE ***,,
EA1OWED,Money owed for 1st vehicle,Real Estate,EVEH1DEBT,"Whether any money was owed on the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA1OWN1,First owner of first vehicle,Real Estate,EVEH1OWNER1,"First owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA1OWN2,Second owner of first vehicle,Real Estate,EVEH1OWNER2,"Second owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA1USE,Primary use of vehicle,Real Estate,EVEH1USE,"Whether the primary use of the first vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA2OWED,Money owed on the 2nd vehicle,Real Estate,EVEH2DEBT,"Whether any money was owed on the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA2OWN1,First owner of second vehicle,Real Estate,EVEH2OWNER1,"First owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA2OWN2,2nd owner of second vehicle,Real Estate,EVEH2OWNER2,"Second owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA2OWN2,2nd owner of second vehicle,Real Estate,EVEH2OWNER3,Suppressed,Assets
EA2USE,Primary use of vehicle,Real Estate,EVEH2USE,"Whether the primary use of the second vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA3OWED,Money owed for third vehicle,Real Estate,EVEH3DEBT,"Whether any money was owed on the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA3OWN1,1st owner of third vehicle,Real Estate,EVEH3OWNER1,"First owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA3OWN2,2nd owner of third vehicle,Real Estate,EVEH3OWNER2,"Second owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA3OWN2,2nd owner of third vehicle,Real Estate,EVEH3OWNER3,"Third owner of the third car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EA3USE,Primary use of vehicle,Real Estate,EVEH3USE,"Whether the primary use of the third vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets
EABGAS,"Did not pay gas, oil, or electricity bills",Adult Well Being,EAWBGAS,Was ... unable to pay the utility bills?,Adult and Child Well Being
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE1,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE2,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRE,Main reason for being absent without pay,Labor Force,EJB1_AWOPRE3,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE1,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE2,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRE,Main reason for being absent without pay,Labor Force,EJB2_AWOPRE3,A value from 1 to 12 indicating the reason for time away without pay.,Labor Force
EABRENT,Did not pay rent or mortgage,Adult Well Being,EAWBMORT,Was ... unable to pay rent or mortgage?,Adult and Child Well Being
EACNSAF,Consider neighborhood safe from crime.,Adult Well Being,EAWBSAFE,Is ... neighborhood safe from crime?,Adult and Child Well Being
EACSTAY,Stayed at home at certain times.,Adult Well Being,EAWBSTAY,Did ... stay home during certain time because he/she thought it might be unsafe?,Adult and Child Well Being
EAFBALN,Couldn't afford balanced meals,Adult Well Being,EFOOD2,Could not afford balanced meals?,Adult and Child Well Being
EAFDAY,Didn't eat for a whole day,Adult Well Being,EFOOD6,"In 2013, were you ever hungry but didn't eat because there wasn't enough money for food?",Adult and Child Well Being
EAFEVER,Lifetime Armed Forces status,Armed Forces,RAFEVER,Did this person ever serve on active duty in the U.S. Armed Forces?,Demographics
EAFLAST,Food we bought just didn't last,Adult Well Being,EFOOD1,The food you bought did not last?,Adult and Child Well Being
EAFLESS,Ate less than felt you should,Adult Well Being,EFOOD5,"In 2013, did you ever eat less than you felt you should because there wasn't enough money to buy food?",Adult and Child Well Being
EAFNOW,Current Armed Forces status,Armed Forces,EAFNOW,Is this person currently on active duty in the U.S. Armed Forces?,Demographics
EAFSKIP,Cut size or skipped meals,Adult Well Being,EFOOD3,"In 2013, did you ever cut the size of your meals or skip meals because there wasn't enough money for food?",Adult and Child Well Being
EAHCRAC,Problem with holes or cracks in wall or ceiling,Adult Well Being,EAWBCRACK,Are there cracks in the ceiling or walls?,Adult and Child Well Being
EAHHOLE,Problem with holes in the floor,Adult Well Being,EAWBHOLES,Are there holes in the floor?,Adult and Child Well Being
EAHPEST,Problem with pests,Adult Well Being,EAWBPESTS,Is there a problem with pests?,Adult and Child Well Being
EAHPLUM,Problem with plumbing that doesn't work,Adult Well Being,EAWBPLUMB,Are there plumbing problems?,Adult and Child Well Being
EALICH,Non-interest checking account in own name,Assets and Liabilities,EOOWNCHK,Owned any regular (non-interest-earning) checking accounts individually during the reference period.,Assets
